Country,CountryID,Continent,Adolescent fertility rate (in percent),Adult literacy rate (in percent),Gross national income per capita (PPP international $),Net primary school enrolment ratio female (in percent),Net primary school enrolment ratio male (in percent),Population (in thousands) total,Population annual growth rate (in percent),Population in urban areas (in percent),Population living below the povertyline,Population median age (years),Population proportion over 60 (in percent),Population proportion under 15 (in percent),Registration coverage of births (in percent),Total fertility rate (per woman),Antenatal care coverage _ at least four visits (in percent),Antiretroviral therapy coverage ,Antiretroviral therapy,Births attended by skilled ,Births by caesarean section (in percent),Children aged 6_59 months who received vitamin A
Sao Tome and Principe,157,3,91,84.9,1490,98,97,155,1.6,59,,19,6,41,69,4,,,,81,,
Saudi Arabia,158,1,15,82.9,22300,87,87,24175,2.4,81,,24,4,34,,3.5,,,,96,,
Senegal,159,3,100,39.3,1560,70,71,12072,2.5,42,17,19,6,42,55,4.9,40,,57,52,3,75.3
Serbia,160,2,24,,9320,,,9851,-0.1,52,,37,19,18,90,1.8,,,18,99,,
Seychelles,161,3,,91.8,14360,100,99,86,0.7,51,,,10,24,90,1.7,,,,,,
Sierra Leone,162,3,178,34.8,610,36,50,5743,2.8,41,,18,5,43,48,6.5,68,8,12,43,,
Singapore,163,6,7,92.5,43300,77,77,4382,1.3,100,,38,13,19,90,1.3,,,,100,,
Slovakia,164,2,21,,17060,92,92,5388,0,56,,36,16,16,,1.2,,,,100,18,
Slovenia,165,2,6,99.7,23970,95,96,2001,0.1,51,,41,21,14,90,1.3,,,,100,14,
Solomon Islands,166,6,72,,1850,61,62,484,2.4,17,,20,5,40,,4,,,,43,,
Somalia,167,3,35,,,6,11,8445,3,36,,18,4,44,3,6.2,,,2,33,,
South Africa,168,3,65,82.4,8900,88,88,48282,0.7,60,10.7,24,7,32,,2.7,73,50,21,92,,
Spain,169,2,10,97.2,28200,99,100,43887,1.1,77,,39,22,14,90,1.4,,,,,,
Sri Lanka,170,7,29,90.7,3730,100,99,19207,0.5,15,5.6,30,10,24,90,1.9,,,10,97,,
Sudan,171,3,51,60.9,1780,37,45,37707,2.2,42,,20,6,40,64,4.4,,,1,49,,
Suriname,172,5,62,89.6,7720,98,95,455,0.6,74,,26,9,29,90,2.5,,,35,71,,
Swaziland,173,3,73,79.6,4700,79,78,1134,0.8,24,,19,5,39,53,3.6,,62,35,74,,
Sweden,174,2,7,,34310,95,95,9078,0.4,84,,40,24,17,90,1.8,,,,,17,
Switzerland,175,2,5,,40840,89,89,7455,0.4,76,,40,21,16,90,1.4,,,,100,10,
Syria,176,1,58,80.8,4110,92,97,19408,2.7,51,,21,5,36,90,3.2,42,,,93,,
Taiwan,177,6,,,,,,,,,,,,,,,,,,,,
Tajikistan,178,2,57,99.5,1560,95,99,6640,1.4,25,7.4,20,5,39,88,3.5,,,4,83,2,
Tanzania,179,3,139,69.4,980,97,98,39459,2.5,25,57.8,18,5,44,8,5.3,62,15,14,43,3,
Thailand,180,6,70,92.6,7440,94,94,63444,0.7,33,2,33,12,21,90,1.8,74,,46,97,,
Timor-Leste,181,6,49,,5100,67,70,1114,4.3,27,,17,5,45,53,6.7,30,,,19,,
Togo,182,3,89,53.2,770,75,86,6410,2.7,41,,18,5,43,78,5,46,11,18,62,,
Tonga,183,6,17,98.9,5470,94,97,100,0.5,24,,21,9,37,90,3.8,,,,99,,
Trinidad and Tobago,184,5,35,98.5,16800,85,85,1328,0.4,13,,29,10,22,90,1.6,,,53,98,,
Tunisia,185,1,8,74.3,6490,97,96,10215,1.1,66,2,27,9,25,90,1.9,63,,33,90,8,
Turkey,186,2,51,87.4,8410,89,93,73922,1.3,68,3.4,27,8,28,,2.2,54,,,83,,
Turkmenistan,187,2,29,98.8,3990,,,4899,1.4,47,,24,6,31,90,2.6,83,,,100,4,
Tuvalu,188,6,,,,,,10,0.4,46,,,8,34,,3,,,,100,,
Uganda,189,3,159,68.1,880,,,29899,3.2,13,,15,4,49,4,6.6,47,25,27,42,3,
Ukraine,190,2,29,99.4,6110,90,90,46557,-0.8,68,2,39,21,14,90,1.2,,,6,100,,
United Arab Emirates,191,1,37,88.5,31190,88,88,4248,3.5,77,,30,2,20,,2.3,59,,,100,,
United Kingdom,192,2,27,,33650,99,98,60512,0.4,90,,39,22,18,90,1.8,,,,99,,
United States of America,193,4,43,,44070,93,91,302841,1,81,,36,17,21,90,2.1,,,,100,23,
Uruguay,194,5,64,96.8,9940,100,100,3331,0.2,92,2,33,18,24,90,2.1,,,55,100,,
Uzbekistan,195,2,40,,2190,78,79,26981,1.4,37,2,23,6,32,90,2.6,79,,30,100,,
Vanuatu,196,6,92,75.5,3480,86,88,221,2.5,24,,20,5,39,,3.9,,,,92,,
Venezuela,197,5,81,93,10970,91,91,27191,1.7,94,18.5,25,8,31,90,2.6,,,,95,,
Vietnam,198,6,25,90.3,2310,91,96,86206,1.4,27,,25,8,29,87,2.2,29,,14,88,10,
West Bank and Gaza,199,1,,,,,,,,,,,,,,,,,,,,
Yemen,200,1,83,54.1,2090,65,85,21732,3,28,,17,4,45,,5.6,14,,,20,,
Zambia,201,3,161,68,1140,94,90,11696,1.9,35,63.8,17,5,46,10,5.3,72,35,26,43,2,67.4
Zimbabwe,202,3,101,89.5,,88,87,13228,0.8,36,,19,5,39,,3.3,71,17,11,69,5,
